"","X","timestamp","fldCruiseStationNumber","absolute_pitch_per_min","i.fldCruiseStationNumber","SweepLngt_m","door_dist_median","door_dist_var"
"1",NA,2018-10-30 09:56:00,NA,NA,1,"L",106.345,3.30244999999998
"2",NA,2018-10-30 09:57:00,NA,NA,1,"L",110.255,1.69394130434783
"3",1,2018-10-30 09:58:00,1,16.25,1,"L",107.16,0.157910582010582
"4",2,2018-10-30 09:59:00,1,12.94,1,"L",106.75,0.727384210526317
"5",3,2018-10-30 10:00:00,1,11.13,1,"L",103.31,0.193417931034483
"6",4,2018-10-30 10:01:00,1,12.66,1,"L",102.56,0.448375494071146
"7",5,2018-10-30 10:02:00,1,16.93,1,"L",105.94,0.264505533596838
"8",6,2018-10-30 10:03:00,1,19.43,1,"L",105.69,0.125356989247312
"9",7,2018-10-30 10:04:00,1,14.87,1,"L",103.88,0.0878833333333329
"10",8,2018-10-30 10:05:00,1,12.45,1,"L",104.31,0.0334293103448276
"11",9,2018-10-30 10:06:00,1,16.25,1,"L",103.69,0.023327513227513
"12",10,2018-10-30 10:07:00,1,14.46,1,"L",105.595,0.980406153846155
"13",11,2018-10-30 10:08:00,1,13.06,1,"L",105.88,0.126803846153846
"14",12,2018-10-30 10:09:00,1,16.29,1,"L",104.63,0.0347964367816092
"15",13,2018-10-30 10:10:00,1,15.44,1,"L",104.06,0.0754777777777775
"16",14,2018-10-30 10:11:00,1,11.53,1,"L",104.19,0.0140152046783624
"17",15,2018-10-30 10:12:00,1,11.46,1,"L",104.31,0.0684719298245613
"18",16,2018-10-30 10:13:00,1,11.5,1,"L",104.22,0.0496301538461544
"19",17,2018-10-30 10:14:00,1,11.26,1,"L",104.41,0.0148432971014493
"20",18,2018-10-30 10:15:00,1,21.34,1,"L",104.44,0.123141991341991
"21",19,2018-10-30 10:16:00,1,16.93,1,"L",103.5,0.857529411764706
"22",20,2018-10-30 10:17:00,1,21.59,1,"L",102.97,0.48104935064935
"23",21,2018-10-30 10:18:00,1,11.18,1,"L",103.81,0.334838151260504
"24",22,2018-10-30 10:19:00,1,15.44,1,"L",104.53,0.014369340463458
"25",23,2018-10-30 10:20:00,1,21.48,1,"L",104.31,0.122238596491228
"26",24,2018-10-30 10:21:00,1,13.98,1,"L",104.44,0.34526045751634
"27",25,2018-10-30 10:22:00,1,16.33,1,"L",104.25,0.0145587301587299
"28",26,2018-10-30 10:23:00,1,13.36,1,"L",102.63,0.14088
"29",27,2018-10-30 10:24:00,1,15.14,1,"L",103.505,0.213457142857143
"30",28,2018-10-30 10:25:00,1,15.04,1,"L",104.88,0.192435238095238
"31",29,2018-10-30 10:26:00,1,18.86,1,"L",104.25,0.239465497076024
"32",30,2018-10-30 10:27:00,1,21.07,1,"L",103.44,1.60933268398268
