"","OSS_TimeUTC","fldCruiseStationNumber","absolute_pitch_per_min"
"1","2018-10-30 09:58:00",1,16.25
"2","2018-10-30 09:59:00",1,12.94
"3","2018-10-30 10:00:00",1,11.13
"4","2018-10-30 10:01:00",1,12.66
"5","2018-10-30 10:02:00",1,16.93
"6","2018-10-30 10:03:00",1,19.43
"7","2018-10-30 10:04:00",1,14.87
"8","2018-10-30 10:05:00",1,12.45
"9","2018-10-30 10:06:00",1,16.25
"10","2018-10-30 10:07:00",1,14.46
"11","2018-10-30 10:08:00",1,13.06
"12","2018-10-30 10:09:00",1,16.29
"13","2018-10-30 10:10:00",1,15.44
"14","2018-10-30 10:11:00",1,11.53
"15","2018-10-30 10:12:00",1,11.46
"16","2018-10-30 10:13:00",1,11.5
"17","2018-10-30 10:14:00",1,11.26
"18","2018-10-30 10:15:00",1,21.34
"19","2018-10-30 10:16:00",1,16.93
"20","2018-10-30 10:17:00",1,21.59
"21","2018-10-30 10:18:00",1,11.18
"22","2018-10-30 10:19:00",1,15.44
"23","2018-10-30 10:20:00",1,21.48
"24","2018-10-30 10:21:00",1,13.98
"25","2018-10-30 10:22:00",1,16.33
"26","2018-10-30 10:23:00",1,13.36
"27","2018-10-30 10:24:00",1,15.14
"28","2018-10-30 10:25:00",1,15.04
"29","2018-10-30 10:26:00",1,18.86
"30","2018-10-30 10:27:00",1,21.07
"31","2018-10-30 10:28:00",1,15.86
"32","2018-10-30 13:27:00",2,20.1
"33","2018-10-30 13:28:00",2,16.06
"34","2018-10-30 13:29:00",2,15.29
"35","2018-10-30 13:30:00",2,14.3
"36","2018-10-30 13:31:00",2,22.34
"37","2018-10-30 13:32:00",2,17.38
"38","2018-10-30 13:33:00",2,11.15
"39","2018-10-30 13:34:00",2,11.43
"40","2018-10-30 13:35:00",2,15.16
"41","2018-10-30 13:36:00",2,8.77
"42","2018-10-30 13:37:00",2,15.24
"43","2018-10-30 13:38:00",2,10.4
"44","2018-10-30 13:39:00",2,14.81
"45","2018-10-30 13:40:00",2,18.17
"46","2018-10-30 13:41:00",2,18.51
"47","2018-10-30 13:42:00",2,14.54
"48","2018-10-30 13:43:00",2,21.29
"49","2018-10-30 13:44:00",2,NA
"50","2018-10-30 13:45:00",2,12.05
"51","2018-10-30 13:46:00",2,12.7
"52","2018-10-30 13:47:00",2,20.41
"53","2018-10-30 13:48:00",2,16.14
"54","2018-10-30 13:49:00",2,19.49
"55","2018-10-30 13:50:00",2,15.54
"56","2018-10-30 13:51:00",2,16.9
"57","2018-10-30 13:52:00",2,19.94
"58","2018-10-30 13:53:00",2,11.72
"59","2018-10-30 13:54:00",2,16.42
"60","2018-10-30 13:55:00",2,11.34
"61","2018-10-30 13:56:00",2,9.65
"62","2018-10-30 13:57:00",2,15.57
"63","2018-10-30 15:42:00",3,14.63
"64","2018-10-30 15:43:00",3,16.19
"65","2018-10-30 15:44:00",3,14.13
"66","2018-10-30 15:45:00",3,NA
"67","2018-10-30 15:46:00",3,12.33
"68","2018-10-30 15:47:00",3,19.76
"69","2018-10-30 15:48:00",3,14.66
"70","2018-10-30 15:49:00",3,10.69
"71","2018-10-30 15:50:00",3,13.67
"72","2018-10-30 15:51:00",3,22.09
"73","2018-10-30 15:52:00",3,16.32
"74","2018-10-30 15:53:00",3,12.23
"75","2018-10-30 15:54:00",3,16.92
"76","2018-10-30 15:55:00",3,13.18
