"","fldCruiseName","fldCruiseStationNumber","fldShotLonDecimalDegrees","fldShotLatDecimalDegrees","fldShotShipsHeading","fldShotDepth","Warp_m","fldGearCode","SweepLngt_m","fldValidityCode","fldWindSpeed","ObsHeave_m","ObsPitch_deg","ObsRoll_deg","door_dist_Median","door_dist_sd","wing_dist_Median","wing_dist_sd","TS_fish_density_Median","TS_fish_density_sd","TS_opening_Median","TS_opening_sd","TS_clearance_Median","TS_clearance_sd","TS_height_Median","TS_height_sd","TEY_fish_density_Median","TEY_fish_density_sd","TEY_height_Median","TEY_height_sd","TEY_opening_Median","TEY_opening_sd","TEY_clearance_Median","TEY_clearance_sd","TSP_along_speed_Median","TSP_along_speed_sd","TSP_across_speed_Median","TSP_across_speed_sd"
"1","IGFS2018",1,-9.634,54.776,38,102,366,"101020101","L","V","26",2.65,5.46,2.65,104.38,1.51841577699235,21.63,0.26327883542427,7,1.32723738922752,4.31,0.26435331147625,0,0.0305917846653774,4.31,0.275634687626309,0,0.762189437982409,3.81,0.127491483810126,3.81,0.100978327334446,0,0.062452684834103,2.45,0.100187658007558,-0.06,0.0293540352527246
"2","IGFS2018",2,-10.096,54.756,25,110,390,"101020101","L","V","14",4.3,4.32,4.3,108.06,1.69372797162846,22.5,0.743069615427513,7,1.73693981269734,4.31,0.222115217064048,0,0,4.31,0.226289727930139,0,1.53107168056946,4.06,1.01104746404139,3.88,0.169318022391972,0,1.00231112492463,2.26,0.119099205198474,-0.08,0.0297870476344181
"3","IGFS2018",3,-10.192,54.949,48,244,759,"101020101","L","V","15",4.39,6.78,4.39,122.06,28.7863999471046,24.13,0.512564473281981,4,1.28280578789087,4.19,0.369155622627629,0,0.0477913807118571,4.19,0.413813858571245,0,1.54656370540528,3.88,1.07643641039156,3.69,0.208418449829241,0,1.05824139163736,2.06,0.146691506223087,0.01,0.0325989897963578
"4","IGFS2018",4,-10.078,55.071,39,234,691,"101020101","L","V","16",4.73,4.3,4.73,121.38,4.50467758614023,23.94,0.37818431645625,1,1.54153443822466,4.06,0.538859267439189,0,0.0893239886234698,4.06,0.78450211883149,0,1.33509727678997,3.81,0.934515074653089,3.69,0.277479670181875,0,0.924804218531198,2.31,0.230397601246383,-0.19,0.0337293524993019
"5","IGFS2018",5,-9.358,55.099,336,105,366,"101020101","L","V","15",5.39,5.69,5.39,105.38,2.36600729943029,22,0.494293674276167,1,2.94416050652613,4.25,12.4898846687467,0,0.362734784611981,4.25,11.1514635788212,0,1.2532275110207,3.81,0.692804562733264,3.81,0.334425980102565,0,0.48466248642262,2.39,0.160406255582204,-0.08,0.0744417166838278
"6","IGFS2018",6,-9.611,55.219,51,119,402,"101020101","L","V","11",4,5.82,4,112.31,3.65497810347167,23.44,0.613274053528505,2,2.18037015329051,4,0.208615650330846,0,0.00934961385175895,4,0.233043189945762,0,0.982915448556091,3.75,1.05599022605201,3.63,0.138437402698613,0,1.09718720183288,2.39,0.0938896031140008,0.01,0.0397229894409063
"7","IGFS2018",7,-9.252,55.405,3,126,402,"101020101","L","V","16",4.35,5.21,4.35,109.88,1.6054993010243,23.19,0.432726761088289,6,1.84198375131138,4.13,0.33793931622302,0,0.0158597490299075,4.13,0.345394107772868,0,1.42464208808809,3.81,0.960141652983514,3.75,0.233047039355916,0,0.957973939597084,2.24,0.136887601659959,-0.01,0.0319639661128711
"8","IGFS2018",8,-8.918,55.446,42,92,336,"101020101","L","V","18",4.08,5.41,4.08,105,14.4142153057455,21.94,1.59878193740298,1,1.37537500713675,4.19,2.43882082045959,0,6.93974115889024,4.19,6.19569322218805,0,0.940138605107117,3.88,1.27695921647316,3.75,0.31029293191983,0,1.20087685790644,2.36,0.222245044879094,0.02,0.0540464023850196
"9","IGFS2018",9,-8.862,55.626,309,102,349,"101020101","L","V","16",3.94,8.77,3.94,106.06,1.8443957314046,22.38,9.13200456674902,6,1.48338441079061,4.19,0.373392302773859,0,0.0924939220105213,4.22,0.408457530891245,0,0.828844646013379,3.88,1.13407032087183,3.81,0.163015512186995,0,1.09449575339807,2.26,0.206785458852325,-0.08,0.0296021994495477
"10","IGFS2018",10,-8.993,55.792,8,132,427,"101020101","L","V","16",3.1,4.38,3.1,110.31,1.53461562833332,22.94,0.580786664586581,7,0.955228026031986,4.13,0.953771482452959,0,0.45318586774161,4.13,0.985893144686607,0,1.5788931036266,4.565,1.18678433638065,3.69,0.310997563171755,0,1.1721503703434,2.33,0.262701938525429,-0.04,0.0603354989265478
"11","IGFS2018",11,-9.325,55.778,181,278,827,"101020101","L","V","16",3.38,4.76,3.38,127.31,2.82089559723117,24.63,0.575162243641713,0,1.29792981419186,3.69,0.116884528155415,0,0,3.69,0.112657804018319,0,0.843003051641997,3.5,1.21511466495926,3.38,0.177217686177681,0,1.20747364852707,2.49,0.0729097841660567,-0.11,0.0416981983598556
"12","IGFS2018",12,-9.22,55.997,15,245,745,"101020101","L","V","20",2.79,4.69,2.79,125.81,5.25296421303697,24.56,0.52116248483857,2,1.5157333683663,3.81,0.713074209509678,0,0.0661330782416837,3.88,0.677910788607363,0,1.09856653794845,3.88,1.28719029185331,3.5,0.515314321394599,0,1.23223944635616,2.42,0.211616722460165,0.03,0.0487578701626886
"13","IGFS2018",13,-9.189,56.174,10,228,691,"101020101","L","V","13",3.8,4.74,3.8,121.69,60.7109240787589,24.56,1.33420660767414,1,1.29967239947656,3.81,0.355016020606753,0,0.0669416347410637,3.81,0.322714618798356,0,0.772201248672814,4.06,1.30015204418155,3.5,0.45436061963675,0,1.31022610779698,2.46,0.0871637346243391,0.06,0.0404438669277874
"14","IGFS2018",14,-8.868,56.009,112,130,450,"101020101","L","V","16",2.64,3.3,2.64,115.56,20.2059754343662,23.06,0.35291777034894,1,2.51413248823461,3.88,0.321494507887101,0,0.0206517293326708,3.88,0.327562925158504,0,0.769023958965106,3.5,1.16346968705411,3.5,0.368917886141518,0,0.957035428241841,2.61,0.0622698928396821,-0.01,0.0257674718574214
"15","IGFS2018",15,-8.375,56.311,79,145,462,"101020101","L","V","10",2.05,4.29,2.05,111.63,1.78955564715009,22.5,0.338221334296189,1,1.60786275306839,4.03,1.16596269932764,0,0.969759960067289,4.06,1.68008233400681,0,0.728703758230489,3.75,0.690751996051441,3.69,0.289733131892958,0,0.469471561066498,2.385,0.0752831710888752,-0.06,0.0327451648640625
"16","IGFS2018",16,-8.171,56.023,227,154,485,"101020101","L","V","17",2.98,3.89,2.98,112.25,0.919959108127311,22.81,0.198719005573646,4,1.97375318707514,4.06,0.290612900862193,0,0.00774541504432152,4.06,0.164098754140812,0,1.4582391309344,3.75,0.0737204301940054,3.75,0.081352135942281,0,0,2.34,0.0686066885639041,-0.01,0.0477067525470088
"17","IGFS2018",17,-7.964,55.868,101,155,486,"101020101","L","V","14",1.88,3.38,1.88,111.25,1.30057970268077,22.69,0.264773422040776,3,1.70448775220279,4.06,0.313131297173212,0,0.0042966892442366,4.06,0.233623201912827,0,0.947730767756288,3.69,0.108059329911827,3.69,0.0865452029134628,0,0,2.25,0.179543401056094,-0.11,0.10712149947024
"18","IGFS2018",18,-8.315,55.825,257,145,486,"101020101","L","V","33",2.49,6.24,2.49,113.88,1.95751527802914,22.63,0.3161377032623,6,1.71214587464932,4,0.224034853359124,0,0.0660824248219985,4,0.207428339957593,0,1.36939603255258,3.63,0.378553954093618,3.63,0.238427275421662,0,0.243506376082912,2.51,0.174877596055981,0,0.0234994244664302
"19","IGFS2018",19,-8.267,55.645,238,93,336,"101020101","L","V","28",1.99,5.76,1.99,107.63,9.67760146454891,21.75,13.2462305498254,7,1.48548061618603,4.13,0.73974314614216,0,0.178701677214777,4.13,0.431816080384904,0,1.4434374071403,4.5,1.72040126382431,3.75,0.397075248178743,0,1.75310058775939,2.53,0.180686844703915,-0.08,0.042759332646342
"20","IGFS2018",21,-7.266,55.73,260,59,246,"101020101","S","V","24",3.2,8.42,3.2,30.69,38.3829092583165,21.19,0.950078139297196,0,1.08505610373963,4.5,0.792091339068706,0,0.239440295355513,4.44,0.920679002127045,0,1.71431592915118,4.25,0.453492659292157,4.25,0.421433189604413,0,0.189482377620114,2.19,0.274106756000852,-0.03,0.116761522510036
"21","IGFS2018",22,-7.582,55.617,95,70,273,"101020101","S","V","12",2.15,5.71,2.15,80.63,6.23486141833838,21.25,19.9625874962772,3,1.61196902724533,4.25,0.255300295874424,0,0.00595042135158174,4.19,0.244479504747361,0,1.45055928727967,4.19,1.24711572254359,3.81,0.301969642362432,0,1.21765043364856,2.51,0.540460805238795,0.03,0.583458256343737
"22","IGFS2018",26,-6.324,55.342,19,173,540,"101020101","L","V","20",2.95,2.38,2.95,115.69,2.02281920232915,22.81,1.02472635922632,3,1.17394226702861,3.69,0.215177035870177,0,0.00528262514330416,3.63,0.200471625167667,0,1.33113046416226,5.19,1.34444354866778,3.31,0.146486902822105,1.75,1.39624022938452,2.53,0.0720885838601403,0.1,0.103160062630204
"23","IGFS2018",27,-6.484,55.297,236,145,462,"101020101","L","V","21",3.29,2.42,3.29,109.5,5.73248834063254,25.38,1.97381421624956,3,1.0709329286259,4.13,0.142498394316663,0,0,4.13,0.139036197848383,0,0.741091290557674,3.69,0.482733746299224,3.69,0.167249059261512,0,0.351284802771523,1.91,0.100384201268573,0.03,0.177706308569857
